user_id,country,signup_date,subscription_plan,signup_channel,churn_date
36,UK,2023-08-26,Premium Family,App Store,2024-07-27
37,Brazil,2024-07-09,Free,Influencer Referral,2025-05-10
38,USA,2024-06-27,Premium Individual,Influencer Referral,2025-02-16
39,USA,2023-11-19,Free,App Store,2024-07-12
40,USA,2024-04-09,Premium Individual,Organic Search,2024-05-13
41,France,2023-10-06,Free,App Store,2024-01-13
42,USA,2024-05-30,Premium Individual,Influencer Referral,2025-04-21
43,Italy,2024-05-07,Premium Student,Social Media Ads,2025-05-14
44,Germany,2023-12-20,Premium Individual,Social Media Ads,2024-10-30
45,Italy,2023-08-28,Free,Organic Search,2023-12-14
46,Germany,2024-08-23,Premium Student,Influencer Referral,2025-09-26
47,Brazil,2024-01-26,Free,Organic Search,2024-08-27
48,UK,2024-07-23,Free,Organic Search,2025-02-16
49,Brazil,2024-04-28,Free,Organic Search,2024-10-29
50,Brazil,2024-06-07,Free,Social Media Ads,2025-04-21
51,France,2024-05-30,Free,App Store,2025-03-16
52,USA,2023-10-17,Free,Social Media Ads,2024-08-05
53,USA,2023-12-24,Premium Individual,Organic Search,2024-01-23
54,Brazil,2024-02-03,Premium Individual,Organic Search,2024-09-03
55,UK,2024-02-16,Premium Student,App Store,2024-05-05
56,UK,2023-08-18,Premium Student,Social Media Ads,2023-11-20
57,France,2024-03-06,Premium Student,Influencer Referral,2024-12-31
58,UK,2023-10-01,Free,App Store,2024-04-12
59,UK,2024-05-24,Free,App Store,2025-05-26
60,USA,2024-04-30,Free,Influencer Referral,2024-07-26
61,Germany,2024-08-04,Free,Organic Search,2025-08-20
62,UK,2024-05-24,Free,Social Media Ads,2024-10-13
63,Brazil,2023-12-25,Free,Organic Search,2024-09-17
64,Italy,2024-08-22,Premium Individual,App Store,2025-08-09
65,Italy,2024-01-12,Premium Family,Influencer Referral,2024-04-04
66,USA,2023-12-09,Premium Individual,Organic Search,2024-04-10
67,USA,2024-07-28,Free,Social Media Ads,2024-12-16
68,UK,2023-12-27,Free,Social Media Ads,2024-11-26
69,Italy,2023-08-31,Premium Family,Organic Search,2024-09-04
70,USA,2024-02-04,Premium Family,Social Media Ads,2024-03-16
71,Italy,2024-06-14,Premium Family,App Store,2025-05-03
72,Italy,2023-10-15,Premium Family,Social Media Ads,2024-05-12
73,Brazil,2024-02-02,Premium Individual,Social Media Ads,2024-11-17
74,Italy,2023-09-21,Free,App Store,2024-07-21
75,Italy,2024-05-01,Free,Social Media Ads,2025-01-31
76,UK,2024-02-07,Premium Family,Social Media Ads,2025-01-22
77,Italy,2023-12-11,Premium Individual,Influencer Referral,2024-03-31
78,Italy,2023-10-30,Premium Individual,App Store,2023-12-08
79,Italy,2024-03-13,Free,Organic Search,2024-10-22
80,Germany,2024-04-24,Free,Influencer Referral,2025-03-14
81,France,2024-08-11,Premium Individual,App Store,2024-11-27
82,Germany,2024-01-22,Premium Individual,Organic Search,2025-01-15
83,Germany,2023-10-04,Premium Student,App Store,2023-12-18
84,Italy,2024-06-29,Premium Student,Influencer Referral,2024-09-23
85,USA,2024-04-08,Free,App Store,2025-03-30
86,UK,2024-05-07,Premium Family,Organic Search,2024-06-25
87,UK,2023-09-08,Premium Family,App Store,2024-10-02
88,France,2023-12-03,Premium Individual,Influencer Referral,2024-03-17
89,USA,2024-06-03,Free,Organic Search,2024-09-01
90,Italy,2024-06-28,Premium Family,Organic Search,2024-10-23
91,Italy,2024-01-22,Premium Individual,App Store,2024-12-23
92,France,2024-06-17,Free,Organic Search,2024-09-25
93,Italy,2024-07-02,Premium Student,App Store,2025-03-18
94,UK,2024-01-02,Premium Individual,Influencer Referral,2024-09-06
95,Italy,2024-07-25,Premium Student,App Store,2025-04-24
96,USA,2023-11-24,Free,App Store,2024-03-26
97,Italy,2023-11-04,Premium Individual,Influencer Referral,2024-09-21
98,Italy,2024-04-29,Premium Student,Organic Search,2025-02-19
99,Brazil,2024-04-11,Premium Individual,App Store,2025-01-04
100,Italy,2023-09-25,Free,App Store,2024-05-02
101,France,2024-06-29,Free,Influencer Referral,2025-01-21
102,Brazil,2023-10-19,Premium Individual,Organic Search,2024-05-04
103,Germany,2024-06-17,Free,Influencer Referral,2025-06-05
104,UK,2023-08-03,Premium Individual,App Store,2024-07-19
105,USA,2024-06-14,Free,Social Media Ads,2024-10-12
106,Italy,2024-06-10,Premium Individual,Influencer Referral,2025-02-15
107,France,2024-06-08,Free,App Store,2025-04-06
108,France,2024-04-22,Premium Student,Influencer Referral,2024-08-27
109,Germany,2024-02-05,Premium Student,Social Media Ads,2024-05-12
110,UK,2024-05-09,Premium Family,App Store,2024-07-11
111,UK,2023-11-19,Premium Individual,Social Media Ads,2024-02-12
112,UK,2024-06-08,Premium Individual,App Store,2025-01-23
113,Italy,2024-03-10,Free,Organic Search,2024-10-01
114,Italy,2024-01-31,Free,Influencer Referral,2024-12-02
115,Germany,2024-02-19,Free,Organic Search,2025-01-13
116,France,2024-03-15,Free,Organic Search,2024-12-19
117,Germany,2023-08-15,Free,Influencer Referral,2024-02-26
118,Brazil,2023-09-25,Free,Organic Search,2024-08-17
119,Germany,2023-11-07,Free,App Store,2024-11-01
120,UK,2023-09-15,Premium Individual,Organic Search,2024-07-29
121,Italy,2024-01-23,Premium Student,Influencer Referral,2024-10-17
122,USA,2024-04-24,Free,Influencer Referral,2024-12-02
123,Brazil,2024-04-18,Free,Influencer Referral,2024-09-03
124,Italy,2024-02-05,Premium Individual,Organic Search,2024-06-11
125,Germany,2024-07-08,Free,Social Media Ads,2025-07-10
126,Italy,2024-03-14,Free,App Store,2025-02-12
127,USA,2023-09-01,Free,App Store,2024-08-18
128,Germany,2024-06-01,Premium Family,Influencer Referral,2024-12-10
129,UK,2024-03-17,Free,App Store,2025-01-20
130,France,2024-04-10,Premium Family,Influencer Referral,2024-06-30
131,UK,2024-03-14,Free,Social Media Ads,2025-03-12
132,Germany,2024-03-09,Free,App Store,2025-03-04
133,Italy,2023-09-06,Premium Individual,Social Media Ads,2024-05-20
134,Italy,2024-03-11,Premium Student,Social Media Ads,2024-06-25
135,Brazil,2024-06-13,Premium Individual,App Store,2025-04-30
136,Germany,2023-11-30,Free,App Store,2024-02-29
137,France,2024-03-29,Premium Student,Social Media Ads,2024-05-17
138,Brazil,2023-08-13,Premium Student,App Store,2023-11-21
139,France,2023-12-17,Premium Individual,Organic Search,2024-07-04
140,Germany,2024-01-22,Premium Family,App Store,2024-05-07
141,Germany,2024-08-28,Premium Family,Organic Search,2025-06-06
142,Italy,2023-10-25,Premium Individual,Organic Search,2024-03-05
143,UK,2023-11-19,Free,Organic Search,2024-10-01
144,Germany,2024-01-11,Premium Student,Organic Search,2024-09-06
145,Italy,2024-09-01,Premium Student,App Store,2025-05-20
146,France,2024-07-07,Free,Influencer Referral,2024-10-23
147,Germany,2023-08-14,Free,App Store,2024-04-22
148,Brazil,2023-11-02,Free,Influencer Referral,2024-10-16
149,France,2024-06-24,Premium Individual,Social Media Ads,2025-02-16
150,Italy,2023-08-24,Premium Individual,Organic Search,2024-02-29
151,Italy,2024-07-08,Premium Family,Social Media Ads,2025-03-12
152,Italy,2023-11-21,Premium Student,Organic Search,2024-06-12
153,USA,2024-08-02,Premium Family,Social Media Ads,2024-09-03
154,Germany,2023-11-26,Free,App Store,2024-09-06
155,Germany,2024-01-21,Free,Social Media Ads,2024-08-22
156,Brazil,2024-04-21,Free,App Store,2024-06-10
157,Brazil,2023-09-20,Premium Student,Influencer Referral,2024-09-07
158,Germany,2024-03-10,Premium Individual,Social Media Ads,2024-08-03
159,Brazil,2024-02-19,Free,App Store,2024-12-31
160,Italy,2024-06-09,Free,Influencer Referral,2025-03-19
161,Italy,2024-09-02,Free,Influencer Referral,2025-04-23
162,UK,2024-04-22,Free,Organic Search,2024-10-10
163,Italy,2024-01-11,Premium Individual,App Store,2025-01-01
164,France,2024-01-10,Premium Student,Influencer Referral,2024-03-14
165,Brazil,2024-01-15,Free,Organic Search,2024-04-21
166,Italy,2024-06-21,Free,Social Media Ads,2025-01-18
167,Italy,2023-12-07,Premium Individual,App Store,2024-01-11
168,USA,2023-10-06,Free,Social Media Ads,2024-01-24
169,France,2023-12-12,Free,Organic Search,2024-02-24
170,Italy,2023-08-10,Premium Individual,Organic Search,2024-07-31
171,Germany,2023-09-12,Premium Individual,App Store,2023-10-27
172,Italy,2023-09-06,Free,App Store,2023-11-19
173,Brazil,2024-06-04,Free,Social Media Ads,2025-05-19
174,UK,2024-05-15,Premium Student,Influencer Referral,2024-07-12
175,Germany,2024-05-05,Premium Student,Social Media Ads,2024-09-13
176,USA,2024-02-01,Free,Organic Search,2024-09-25
177,Italy,2024-05-13,Premium Individual,Organic Search,2024-07-07
178,UK,2023-10-04,Premium Student,App Store,2024-01-16
179,France,2024-07-26,Premium Individual,Social Media Ads,2025-07-31
180,France,2024-02-17,Premium Student,App Store,2025-01-30
181,Brazil,2024-08-10,Free,App Store,2025-05-06
182,UK,2023-09-30,Premium Individual,Social Media Ads,2024-01-03
183,Brazil,2024-02-15,Premium Student,Influencer Referral,2025-03-06
184,France,2024-05-05,Premium Individual,App Store,2024-11-26
185,Germany,2024-02-15,Free,Influencer Referral,2024-08-05
186,USA,2024-01-26,Premium Individual,Influencer Referral,2024-11-29
187,Brazil,2023-10-06,Free,App Store,2024-07-18
188,Germany,2023-12-31,Premium Individual,Social Media Ads,2024-02-17
189,USA,2023-11-04,Premium Student,Social Media Ads,2024-07-21
190,Italy,2023-11-29,Premium Individual,App Store,2025-01-01
191,Italy,2024-04-30,Free,Social Media Ads,2025-02-05
192,UK,2024-04-09,Free,Influencer Referral,2025-02-16
193,France,2024-03-30,Premium Individual,Social Media Ads,2025-01-03
194,Germany,2023-12-23,Premium Individual,Influencer Referral,2024-05-25
195,UK,2024-08-18,Premium Individual,Organic Search,2024-11-30
196,Brazil,2023-09-05,Premium Student,Organic Search,2024-03-27
197,Germany,2023-12-16,Free,Social Media Ads,2024-05-02
198,Brazil,2023-09-17,Premium Individual,Influencer Referral,2023-12-13
199,Germany,2023-12-14,Premium Individual,Social Media Ads,2024-08-31
200,Brazil,2024-08-19,Free,Influencer Referral,2025-02-10
201,UK,2023-12-25,Free,Influencer Referral,2024-10-06
202,Germany,2024-07-29,Premium Student,App Store,2024-12-22
203,Germany,2024-02-15,Premium Family,Social Media Ads,2024-06-02
204,USA,2024-05-06,Premium Individual,App Store,2024-09-26
205,Germany,2024-01-30,Premium Family,Influencer Referral,2024-03-02
206,Germany,2023-11-15,Free,Organic Search,2024-09-25
207,Germany,2024-06-01,Free,Organic Search,2025-03-11
208,Germany,2024-08-22,Premium Student,Influencer Referral,2025-07-14
209,Brazil,2023-11-14,Free,Influencer Referral,2024-08-18
210,USA,2024-06-07,Premium Individual,Social Media Ads,2024-11-19
211,USA,2023-11-13,Free,Influencer Referral,2024-11-04
212,Italy,2024-05-13,Free,Influencer Referral,2024-07-24
213,USA,2024-06-11,Premium Student,Influencer Referral,2025-03-01
214,France,2024-01-27,Premium Individual,Organic Search,2024-03-13
215,Germany,2024-05-21,Free,App Store,2025-03-22
216,Germany,2023-11-17,Premium Individual,Organic Search,2024-12-03
217,USA,2023-09-01,Premium Family,Social Media Ads,2024-05-16
218,France,2023-09-08,Free,Social Media Ads,2023-11-15
219,France,2024-01-26,Premium Individual,Social Media Ads,2024-03-25
220,France,2024-07-27,Free,Organic Search,2025-04-24
221,Germany,2023-09-21,Free,Social Media Ads,2024-04-14
222,USA,2024-01-30,Premium Family,Organic Search,2024-04-02
223,USA,2024-05-08,Free,Social Media Ads,2025-01-20
224,Brazil,2023-10-20,Premium Family,Social Media Ads,2024-09-07
225,France,2024-05-15,Free,Social Media Ads,2025-02-05
226,UK,2023-12-01,Premium Individual,Organic Search,2024-05-12
227,Italy,2024-06-19,Free,Organic Search,2025-07-18
228,USA,2024-03-19,Premium Student,Social Media Ads,2024-08-17
229,France,2024-03-06,Premium Individual,App Store,2025-04-07
230,Germany,2023-10-10,Free,Organic Search,2023-11-18
231,Germany,2024-02-02,Premium Individual,Organic Search,2024-04-06
232,Italy,2024-07-08,Premium Individual,Organic Search,2025-07-29
233,France,2023-08-08,Premium Individual,Organic Search,2023-10-25
234,France,2024-05-30,Premium Family,Organic Search,2024-12-25
235,Germany,2024-02-14,Premium Family,App Store,2024-11-17
236,Germany,2024-05-14,Premium Individual,Influencer Referral,2024-08-07
237,USA,2024-04-22,Free,App Store,2024-07-22
238,Brazil,2024-01-20,Premium Individual,App Store,2024-04-06
239,Brazil,2023-12-02,Premium Individual,Social Media Ads,2024-09-16
240,Italy,2024-04-07,Premium Individual,Social Media Ads,2025-01-14
241,UK,2023-09-26,Premium Individual,Influencer Referral,2024-07-24
242,Germany,2024-03-21,Free,Influencer Referral,2024-07-05
243,UK,2023-09-07,Free,Organic Search,2024-09-02
244,USA,2024-04-16,Free,Organic Search,2024-11-15
245,Germany,2024-04-08,Free,Social Media Ads,2024-08-12
246,Brazil,2023-09-03,Free,Influencer Referral,2023-12-13
247,USA,2024-05-29,Free,Organic Search,2024-11-23
248,UK,2024-01-14,Free,Organic Search,2024-07-03
249,Brazil,2024-06-10,Premium Family,Social Media Ads,2025-05-14
250,USA,2023-08-17,Premium Individual,Organic Search,2024-06-25
251,UK,2023-10-11,Premium Individual,Social Media Ads,2024-07-06
252,Italy,2024-02-14,Free,Influencer Referral,2024-03-25
253,USA,2023-10-15,Premium Student,Social Media Ads,2024-05-04
254,USA,2023-12-10,Free,Influencer Referral,2024-04-02
255,France,2024-04-21,Premium Family,App Store,2024-12-20
256,Italy,2023-09-27,Premium Individual,Organic Search,2024-10-01
257,Brazil,2024-04-28,Free,Social Media Ads,2025-04-24
258,Germany,2023-09-11,Free,Influencer Referral,2024-06-10
259,France,2023-10-10,Premium Individual,Influencer Referral,2024-01-24
260,Italy,2024-03-23,Free,Social Media Ads,2025-03-14
261,Italy,2024-06-13,Free,Social Media Ads,2025-03-03
262,France,2023-10-08,Premium Family,Influencer Referral,2023-11-15
263,Brazil,2023-11-28,Free,Influencer Referral,2024-01-09
264,Italy,2024-08-05,Free,Organic Search,2025-07-25
265,UK,2024-08-30,Free,Organic Search,2024-11-08
266,Italy,2024-03-20,Free,Organic Search,2025-02-02
267,Brazil,2024-01-26,Premium Individual,Influencer Referral,2024-03-04
268,UK,2023-12-17,Premium Student,Organic Search,2024-03-02
269,France,2024-04-01,Premium Individual,Influencer Referral,2024-05-04
270,Germany,2024-03-24,Premium Individual,Influencer Referral,2024-10-03
271,Italy,2023-11-26,Premium Individual,Influencer Referral,2024-10-20
272,Italy,2023-08-10,Free,Social Media Ads,2024-01-30
273,UK,2023-09-30,Premium Family,Social Media Ads,2024-02-27
274,France,2024-08-18,Free,Influencer Referral,2025-08-02
275,UK,2024-01-15,Premium Student,Organic Search,2024-09-07
276,UK,2024-02-09,Premium Student,Organic Search,2024-11-10
277,Germany,2024-02-03,Premium Individual,App Store,2024-11-30
278,USA,2024-06-09,Premium Student,Organic Search,2025-04-08
279,France,2023-08-26,Free,App Store,2023-11-23
280,France,2023-09-03,Free,Organic Search,2024-09-05
281,UK,2023-11-19,Premium Family,Influencer Referral,2024-08-10
282,UK,2024-02-11,Premium Student,Influencer Referral,2024-07-05
283,France,2024-04-25,Premium Family,App Store,2025-01-17
284,Germany,2024-02-13,Premium Individual,Organic Search,2024-04-08
285,USA,2024-01-24,Free,Influencer Referral,2024-12-29
286,Germany,2024-08-10,Premium Family,Organic Search,2025-02-17
287,USA,2023-10-04,Premium Individual,Influencer Referral,2023-11-24
288,France,2024-03-16,Premium Family,Organic Search,2025-03-28
289,UK,2024-03-04,Premium Individual,App Store,2024-09-11
290,Italy,2024-02-06,Premium Student,Social Media Ads,2024-11-11
291,Brazil,2024-06-19,Free,Organic Search,2025-04-22
292,France,2023-11-15,Free,Social Media Ads,2023-12-28
293,Italy,2024-08-16,Free,Influencer Referral,2025-02-03
294,Germany,2023-12-11,Premium Student,Social Media Ads,2025-01-08
295,UK,2024-03-06,Free,Organic Search,2024-10-25
296,Brazil,2024-02-25,Free,Social Media Ads,2024-10-11
297,USA,2024-07-05,Free,App Store,2025-07-28
298,USA,2024-01-23,Free,Influencer Referral,2024-07-17
299,France,2023-11-22,Premium Family,Social Media Ads,2024-06-06
300,USA,2023-08-09,Free,Organic Search,2024-03-08
301,Germany,2023-12-24,Premium Individual,Influencer Referral,2024-12-13
302,USA,2024-06-26,Premium Individual,Influencer Referral,2025-02-09
303,France,2023-08-04,Free,App Store,2024-04-26
304,France,2024-07-24,Free,Social Media Ads,2025-07-29
305,Germany,2024-03-05,Free,Social Media Ads,2024-06-15
306,Italy,2023-09-26,Free,Organic Search,2024-03-08
307,Germany,2023-11-29,Free,App Store,2024-08-11
308,Italy,2024-03-09,Premium Student,App Store,2024-12-08
309,Germany,2023-12-05,Premium Student,App Store,2024-03-17
310,France,2023-09-13,Free,Organic Search,2023-11-24
311,Italy,2024-04-23,Premium Family,App Store,2024-11-01
312,France,2024-04-25,Free,Influencer Referral,2024-10-28
313,Brazil,2023-09-17,Premium Individual,Organic Search,2024-02-11
314,Brazil,2023-11-21,Free,Organic Search,2024-11-28
315,Italy,2023-11-06,Premium Individual,App Store,2024-02-18
316,UK,2024-04-20,Free,Influencer Referral,2025-02-26
317,France,2024-05-19,Free,Social Media Ads,2025-05-20
318,Brazil,2024-05-17,Premium Student,Organic Search,2025-05-25
319,Brazil,2024-08-10,Premium Student,App Store,2025-07-28
320,USA,2024-06-03,Free,Organic Search,2024-08-19
321,USA,2023-12-07,Premium Individual,Influencer Referral,2024-10-05
322,France,2023-09-13,Free,Social Media Ads,2024-04-02
323,Brazil,2024-04-02,Free,Organic Search,2025-05-06
324,UK,2024-08-01,Free,App Store,2025-03-13
325,Italy,2024-08-25,Free,Influencer Referral,2024-11-27
326,Germany,2023-11-01,Free,Social Media Ads,2024-01-04
327,Italy,2023-11-03,Premium Individual,Organic Search,2024-08-13
328,Brazil,2023-08-15,Premium Student,Social Media Ads,2024-03-24
329,USA,2023-09-26,Premium Individual,Influencer Referral,2024-02-26
330,Brazil,2024-03-09,Premium Individual,Influencer Referral,2024-08-26
331,UK,2024-03-06,Premium Student,Influencer Referral,2025-01-16
332,Germany,2023-12-27,Premium Student,Organic Search,2024-01-29
333,France,2023-12-02,Premium Individual,Social Media Ads,2024-03-05
334,Italy,2024-06-27,Premium Individual,Influencer Referral,2024-09-05
335,France,2024-02-01,Free,Organic Search,2024-09-14
336,Brazil,2024-06-19,Free,Influencer Referral,2025-01-15
337,UK,2024-08-20,Premium Individual,Social Media Ads,2025-07-04
338,Germany,2023-12-05,Premium Student,Social Media Ads,2024-02-13
339,Germany,2023-10-21,Premium Student,App Store,2024-05-18
340,Germany,2024-08-16,Free,Organic Search,2025-02-09
341,France,2024-04-10,Free,App Store,2025-02-17
342,UK,2023-11-25,Premium Family,Organic Search,2024-12-24
343,UK,2024-04-05,Premium Individual,Organic Search,2024-07-17
344,France,2024-02-23,Free,App Store,2024-09-02
345,France,2024-07-28,Free,App Store,2025-03-07
346,Italy,2023-11-11,Premium Individual,App Store,2024-07-07
347,Germany,2024-08-31,Free,Organic Search,2024-12-19
348,France,2024-08-09,Premium Individual,Influencer Referral,2025-02-09
349,UK,2023-10-12,Premium Student,Influencer Referral,2024-08-06
350,UK,2023-10-05,Free,Influencer Referral,2023-12-13
351,Italy,2024-03-01,Free,App Store,2024-12-29
352,USA,2023-08-18,Premium Individual,Influencer Referral,2024-07-12
353,USA,2023-11-28,Premium Individual,Organic Search,2024-12-18
354,Germany,2024-01-22,Premium Individual,Organic Search,2024-11-18
355,Brazil,2024-08-22,Free,App Store,2024-12-24
356,Germany,2024-08-31,Premium Individual,Social Media Ads,2025-03-13
357,Brazil,2023-09-30,Premium Family,Social Media Ads,2024-08-21
358,Germany,2024-07-22,Premium Individual,Influencer Referral,2024-10-30
359,Germany,2023-09-06,Free,App Store,2024-07-05
360,Italy,2024-05-26,Premium Individual,Organic Search,2025-03-22
361,France,2024-07-04,Free,Organic Search,2024-08-30
362,USA,2024-07-22,Free,Influencer Referral,2024-12-20
363,USA,2023-10-29,Free,Organic Search,2024-03-24
364,Brazil,2024-07-23,Premium Individual,Social Media Ads,2025-02-18
365,UK,2023-09-16,Free,Social Media Ads,2024-07-17
366,Italy,2024-02-24,Premium Family,Social Media Ads,2024-06-27
367,UK,2024-02-04,Premium Student,Influencer Referral,2024-03-25
368,France,2023-12-05,Free,Organic Search,2024-06-08
369,Brazil,2023-08-09,Premium Student,Organic Search,2024-08-19
370,France,2024-06-04,Premium Family,App Store,2025-06-06
371,UK,2023-12-13,Premium Student,App Store,2024-06-16
372,France,2024-04-21,Premium Individual,Organic Search,2024-09-08
373,USA,2024-01-12,Free,Organic Search,2024-06-27
374,UK,2023-12-28,Free,App Store,2024-06-18
375,Italy,2024-07-20,Premium Individual,Organic Search,2024-11-27
376,USA,2023-09-07,Free,Organic Search,2024-04-11
377,Brazil,2024-05-21,Free,Social Media Ads,2025-01-05
378,Italy,2024-05-25,Free,Influencer Referral,2024-10-07
379,France,2023-12-30,Free,Social Media Ads,2024-10-15
380,Germany,2023-11-13,Free,Social Media Ads,2024-12-05
381,USA,2023-08-03,Premium Family,Social Media Ads,2024-06-03
382,UK,2024-08-09,Premium Student,Influencer Referral,2024-10-16
383,Italy,2024-08-14,Premium Student,App Store,2025-02-20
384,Italy,2023-11-05,Premium Individual,Organic Search,2024-01-19
385,Germany,2023-08-13,Premium Individual,App Store,2024-01-17
386,USA,2023-09-19,Free,App Store,2024-06-07
387,France,2023-08-28,Free,Influencer Referral,2024-09-08
388,UK,2024-06-28,Free,Influencer Referral,2025-03-10
389,USA,2024-07-22,Free,App Store,2024-11-14
390,Italy,2023-10-01,Premium Individual,Influencer Referral,2024-02-13
391,USA,2024-05-25,Free,Influencer Referral,2024-12-30
392,France,2023-10-11,Premium Individual,App Store,2023-12-08
393,Italy,2023-12-25,Premium Family,Organic Search,2024-04-14
394,Brazil,2024-03-27,Free,Organic Search,2024-06-13
395,Italy,2024-05-14,Premium Individual,App Store,2025-06-16
396,USA,2024-07-15,Premium Individual,Influencer Referral,2024-11-04
397,Brazil,2023-08-18,Premium Individual,App Store,2024-03-19
398,Brazil,2023-10-18,Premium Individual,Organic Search,2024-04-12
399,Italy,2023-11-21,Free,Organic Search,2024-09-14
400,USA,2023-12-03,Premium Individual,App Store,2024-07-27
401,UK,2024-09-03,Premium Individual,App Store,2025-01-10
402,Brazil,2024-06-06,Premium Individual,Influencer Referral,2025-02-20
403,USA,2023-12-07,Free,App Store,2024-11-06
404,USA,2024-08-23,Free,Social Media Ads,2025-06-06
405,France,2024-02-16,Free,Influencer Referral,2024-06-18
406,UK,2024-02-17,Free,App Store,2024-04-05
407,Germany,2024-01-21,Premium Student,Social Media Ads,2024-11-09
408,USA,2023-09-27,Premium Student,Influencer Referral,2024-05-16
409,Brazil,2024-08-08,Premium Family,Influencer Referral,2024-10-02
410,France,2023-08-06,Premium Student,Social Media Ads,2023-09-21
411,Italy,2023-10-09,Premium Student,Influencer Referral,2023-12-28
412,Brazil,2023-10-31,Free,Influencer Referral,2024-07-28
413,Italy,2023-11-20,Free,App Store,2024-03-22
414,France,2023-09-22,Premium Individual,Organic Search,2024-02-16
415,UK,2023-08-08,Premium Family,Social Media Ads,2024-09-09
416,Germany,2024-04-28,Premium Student,Influencer Referral,2025-01-07
417,USA,2024-08-22,Free,Social Media Ads,2024-10-20
418,USA,2023-09-18,Premium Student,Influencer Referral,2024-04-11
419,France,2023-11-27,Free,App Store,2024-04-29
420,UK,2024-02-19,Premium Family,Organic Search,2025-01-15
421,Germany,2024-08-06,Premium Individual,Organic Search,2025-03-31
422,UK,2024-05-04,Premium Individual,App Store,2024-07-09
423,UK,2024-06-02,Free,Influencer Referral,2024-10-27
424,Italy,2024-03-20,Premium Student,Influencer Referral,2024-11-02
425,France,2024-01-14,Free,Influencer Referral,2024-06-10
426,UK,2023-10-19,Premium Individual,Organic Search,2024-03-12
427,USA,2024-07-11,Premium Individual,Social Media Ads,2025-08-11
428,France,2024-06-17,Free,Influencer Referral,2024-07-21
429,UK,2023-08-11,Premium Individual,App Store,2024-01-05
430,Italy,2024-05-13,Premium Individual,App Store,2024-12-28
431,UK,2023-09-03,Free,Social Media Ads,2024-07-14
432,Italy,2024-05-22,Premium Individual,Influencer Referral,2025-04-06
433,USA,2024-06-26,Premium Individual,Social Media Ads,2024-10-17
434,USA,2023-09-22,Premium Individual,Organic Search,2024-06-05
435,Brazil,2024-01-21,Free,Influencer Referral,2024-11-05
436,Italy,2023-09-19,Premium Family,Social Media Ads,2023-11-05
437,UK,2024-03-14,Free,App Store,2024-11-06
438,France,2024-08-06,Premium Student,Social Media Ads,2025-05-02
439,France,2023-09-02,Premium Student,Influencer Referral,2023-12-04
440,France,2024-01-07,Free,Organic Search,2024-10-28
441,Italy,2024-08-24,Free,App Store,2025-02-20
442,Italy,2023-11-29,Premium Student,Social Media Ads,2024-01-24
443,UK,2023-09-22,Free,App Store,2024-03-31
444,Germany,2024-02-12,Free,Social Media Ads,2024-08-02
445,UK,2024-02-20,Premium Student,Influencer Referral,2024-12-20
446,France,2024-04-22,Premium Individual,Influencer Referral,2024-09-09
447,Italy,2023-12-04,Premium Individual,App Store,2024-10-10
448,Italy,2024-08-17,Free,Social Media Ads,2025-06-20
449,France,2024-02-25,Premium Family,App Store,2024-11-12
450,USA,2023-11-23,Premium Student,Social Media Ads,2024-05-07
