stream_id,user_id,track_id,platform_id,listen_date,listen_hour,device_type,connection_type,stream_source,is_skipped,is_liked,listen_duration_sec,royalty_cost,revenue_generated
632,28420,8,2,2024-08-19,3,Smart Speaker,Cellular,Algorithmic,True,False,5,0.0,0.00647
646,38145,2,1,2024-04-25,17,Tablet,Cellular,Algorithmic,False,False,181,0.0012,0.00177
680,39105,77,2,2024-12-07,0,Mobile Android,Wifi,Algorithmic,True,False,2,0.0,0.00489
700,19831,60,4,2024-07-29,16,Mobile Android,Wifi,Algorithmic,False,False,154,0.00122,0.00179
703,32904,50,4,2024-10-04,9,Tablet,Wifi,Algorithmic,False,True,107,0.00531,0.00781
710,21510,90,4,2024-05-10,2,Mobile iOS,Cellular,Algorithmic,False,False,238,0.00662,0.00973
715,33919,31,1,2024-04-12,18,Mobile Android,Wifi,Editorial,False,False,111,0.00455,0.00669
739,880,53,2,2024-12-15,13,Tablet,Wifi,Algorithmic,True,False,11,0.0,0.00556
753,17276,34,3,2024-02-08,16,Desktop,Cellular,Search,False,False,234,0.00292,0.0043
768,41874,38,4,2024-10-12,22,Desktop,Wifi,Algorithmic,False,False,144,0.00116,0.00171
777,1291,66,4,2024-03-14,0,Desktop,Wifi,Algorithmic,True,False,21,0.0,0.00159
785,23662,19,1,2024-05-26,6,Tablet,Wifi,Algorithmic,False,False,222,0.00099,0.00145
808,42467,43,3,2024-01-03,8,Desktop,Wifi,Search,False,True,225,0.00098,0.00144
829,31314,42,4,2024-07-24,0,Mobile Android,Cellular,Algorithmic,True,False,6,0.0,0.00572
852,7092,79,2,2024-07-23,9,Tablet,Cellular,Editorial,True,False,22,0.0,0.00219
856,39892,13,1,2024-07-11,0,Smart Speaker,Wifi,Search,False,False,199,0.00545,0.00801
875,40905,46,2,2024-09-24,17,Tablet,Wifi,Search,False,True,184,0.00386,0.00568
876,27264,53,2,2024-07-22,23,Mobile iOS,Wifi,Algorithmic,True,True,10,0.0,0.00202
895,24887,27,1,2024-07-30,14,Desktop,Cellular,Algorithmic,True,False,14,0.0,0.00211
921,31506,31,1,2024-08-10,22,Tablet,Wifi,Editorial,False,False,129,0.00143,0.0021
936,41506,6,4,2024-10-30,23,Mobile Android,Cellular,Editorial,False,True,225,0.00148,0.00217
942,18287,4,4,2024-07-09,1,Tablet,Cellular,Algorithmic,True,False,25,0.0,0.00153
947,8575,85,1,2024-09-06,2,Tablet,Wifi,Search,False,False,277,0.00147,0.00216
962,28197,4,2,2024-11-01,14,Desktop,Wifi,Algorithmic,False,False,200,0.00653,0.0096
967,10818,10,2,2024-11-30,7,Tablet,Wifi,Algorithmic,False,False,99,0.00547,0.00804
969,7039,19,3,2024-10-08,17,Tablet,Cellular,Search,False,False,198,0.00495,0.00728
974,33768,13,4,2024-09-07,2,Smart Speaker,Wifi,Algorithmic,True,True,24,0.0,0.00465
979,9524,73,2,2024-12-19,23,Mobile iOS,Wifi,Algorithmic,True,False,27,0.0,0.00183
991,15070,34,4,2024-01-19,1,Mobile iOS,Wifi,Search,False,False,227,0.0015,0.00221
992,30302,29,4,2024-01-19,0,Desktop,Offline,Algorithmic,True,False,18,0.0,0.00656
993,29432,84,4,2024-11-15,4,Desktop,Cellular,Editorial,False,True,273,0.00615,0.00905
997,30505,3,2,2024-10-09,1,Smart Speaker,Wifi,Algorithmic,True,False,3,0.0,0.00217
999,10631,21,3,2024-06-15,21,Desktop,Wifi,Search,False,False,224,0.00113,0.00166
1001,39962,2,2,2024-05-08,5,Tablet,Wifi,Search,False,False,204,0.00394,0.00579
1023,10864,2,1,2024-01-25,9,Smart Speaker,Wifi,Search,True,False,22,0.0,0.00956
1037,37559,75,2,2024-06-26,3,Smart Speaker,Wifi,Algorithmic,True,False,27,0.0,0.00185
1065,22976,76,4,2024-12-02,10,Tablet,Wifi,Algorithmic,False,True,166,0.00126,0.00186
1068,31163,100,3,2024-04-30,12,Smart Speaker,Cellular,Editorial,False,False,213,0.00092,0.00135
1085,42323,72,1,2024-07-09,7,Mobile Android,Wifi,Search,True,False,4,0.0,0.00602
1096,44036,73,1,2024-11-20,15,Tablet,Cellular,Search,False,False,239,0.00136,0.002
1099,23932,94,2,2024-08-22,11,Smart Speaker,Wifi,Search,False,True,170,0.00118,0.00173
1103,38406,88,2,2024-09-18,6,Desktop,Cellular,Search,False,False,160,0.004,0.00588
1105,26588,63,1,2024-07-20,16,Tablet,Cellular,Search,False,False,239,0.00557,0.00819
1107,30696,52,4,2024-03-03,17,Desktop,Wifi,Algorithmic,False,False,156,0.00539,0.00793
1123,25410,97,3,2024-09-20,11,Mobile Android,Wifi,Editorial,True,False,25,0.0,0.00142
1220,13474,38,4,2024-02-01,5,Desktop,Wifi,Search,False,False,150,0.00496,0.0073
1245,23514,4,3,2024-09-05,14,Mobile Android,Wifi,Search,False,True,241,0.00609,0.00895
1254,9322,86,4,2024-05-02,12,Mobile Android,Cellular,Algorithmic,False,False,317,0.00311,0.00458
1255,44798,97,2,2024-12-11,8,Desktop,Wifi,Search,False,False,213,0.00312,0.00459
1269,31363,88,4,2024-05-03,5,Smart Speaker,Cellular,Algorithmic,True,False,10,0.0,0.00814
1270,41154,53,4,2024-08-01,1,Desktop,Cellular,Editorial,False,True,143,0.00124,0.00182
1275,26059,65,3,2024-11-28,8,Mobile Android,Wifi,Editorial,False,False,100,0.00328,0.00482
1291,19844,60,4,2024-03-09,17,Desktop,Cellular,Search,False,True,150,0.00103,0.00151
1296,22326,16,3,2024-01-27,10,Smart Speaker,Wifi,Algorithmic,False,True,187,0.00141,0.00208
1299,30193,8,3,2024-09-01,20,Desktop,Wifi,Search,False,False,193,0.00101,0.00149
1331,19486,29,2,2024-08-24,16,Mobile Android,Wifi,Algorithmic,True,False,28,0.0,0.00971
1333,19526,49,3,2024-07-17,17,Desktop,Cellular,Search,True,False,12,0.0,0.00848
1347,28265,94,1,2024-06-01,10,Smart Speaker,Wifi,Algorithmic,False,True,123,0.00462,0.00679
1359,24120,55,3,2024-05-27,20,Desktop,Wifi,Search,True,False,15,0.0,0.00783
1400,44299,13,4,2024-05-26,5,Tablet,Cellular,Search,True,False,11,0.0,0.00823
1407,20012,57,2,2024-07-03,20,Mobile Android,Cellular,Algorithmic,True,False,8,0.0,0.00727
1435,32121,96,4,2024-08-31,7,Mobile Android,Wifi,Algorithmic,True,False,16,0.0,0.00206
1453,26672,15,3,2024-08-29,15,Tablet,Wifi,Algorithmic,True,False,2,0.0,0.00835
1458,14898,48,2,2024-11-15,14,Mobile Android,Cellular,Search,False,False,212,0.00126,0.00186
1489,41731,17,4,2024-07-05,10,Tablet,Wifi,Search,True,False,17,0.0,0.0018
1497,29458,7,1,2024-10-14,19,Mobile iOS,Offline,Algorithmic,False,False,165,0.00471,0.00692
1507,14623,94,2,2024-10-15,8,Mobile Android,Cellular,Editorial,False,False,148,0.0045,0.00662
1515,40873,33,2,2024-12-07,21,Mobile Android,Wifi,Search,True,False,28,0.0,0.00212
1526,33393,42,4,2024-09-04,6,Desktop,Cellular,Algorithmic,True,False,5,0.0,0.00149
1531,9693,22,2,2024-12-21,20,Desktop,Offline,Search,False,False,236,0.00139,0.00205
1532,35306,83,4,2024-04-13,11,Mobile Android,Wifi,Algorithmic,True,False,3,0.0,0.00221
1534,39079,43,3,2024-12-17,11,Tablet,Wifi,Algorithmic,False,False,297,0.00624,0.00918
1547,20300,94,2,2024-05-12,11,Mobile Android,Wifi,Algorithmic,False,False,172,0.00513,0.00754
1562,31610,8,1,2024-12-22,11,Mobile iOS,Wifi,Search,False,False,278,0.00439,0.00645
1572,29329,1,1,2024-11-13,8,Mobile Android,Wifi,Editorial,False,False,179,0.00122,0.0018
1586,27427,3,2,2024-07-06,12,Mobile Android,Wifi,Search,False,False,170,0.00508,0.00747
1592,6673,31,3,2024-12-19,19,Mobile iOS,Wifi,Algorithmic,True,False,8,0.0,0.00658
1605,20164,25,1,2024-07-29,12,Mobile iOS,Cellular,Search,False,False,120,0.00152,0.00223
1646,12792,95,3,2024-11-15,23,Smart Speaker,Wifi,Search,False,False,216,0.00129,0.0019
1648,42353,35,4,2024-03-08,2,Desktop,Cellular,Editorial,False,True,306,0.00339,0.00499
1665,29187,63,2,2024-10-15,21,Mobile iOS,Cellular,Editorial,True,False,26,0.0,0.00601
1676,4267,3,3,2024-02-24,11,Mobile iOS,Wifi,Search,False,False,146,0.00352,0.00518
1683,9227,2,4,2024-12-28,4,Tablet,Cellular,Search,False,False,202,0.00462,0.0068
1702,1981,5,1,2024-09-14,5,Tablet,Cellular,Search,False,False,135,0.00121,0.00178
1718,4012,58,1,2024-11-26,4,Mobile iOS,Cellular,Algorithmic,False,False,153,0.00521,0.00766
1742,18287,21,3,2024-11-08,12,Tablet,Wifi,Search,False,False,178,0.00152,0.00223
1745,42627,62,2,2024-06-06,21,Desktop,Cellular,Search,False,True,179,0.00368,0.00541
1762,29316,8,4,2024-08-22,23,Desktop,Cellular,Search,False,False,240,0.00466,0.00685
1765,38594,84,4,2024-01-22,16,Tablet,Offline,Algorithmic,True,False,28,0.0,0.00844
1783,6169,47,4,2024-10-25,10,Smart Speaker,Wifi,Algorithmic,True,False,20,0.0,0.00596
1805,3893,36,2,2024-02-05,8,Smart Speaker,Cellular,Algorithmic,False,False,164,0.00104,0.00153
1825,5863,7,1,2024-06-10,9,Desktop,Cellular,Algorithmic,True,False,2,0.0,0.00917
1835,11952,56,2,2024-04-23,3,Tablet,Wifi,Editorial,True,False,26,0.0,0.00792
1838,26451,77,2,2024-06-02,21,Mobile Android,Cellular,Algorithmic,True,False,16,0.0,0.0049
1842,13142,81,4,2024-07-06,22,Tablet,Offline,Editorial,False,False,158,0.0012,0.00177
1845,43173,57,3,2024-10-10,22,Smart Speaker,Wifi,Algorithmic,False,False,220,0.00299,0.00439
1850,20249,23,1,2024-06-20,11,Smart Speaker,Wifi,Search,False,True,174,0.00148,0.00218
1857,9706,15,4,2024-06-30,3,Smart Speaker,Cellular,Algorithmic,False,True,98,0.00138,0.00203
1864,8767,78,3,2024-12-01,23,Tablet,Wifi,Algorithmic,False,False,107,0.00503,0.00739
1879,24696,58,1,2024-06-02,6,Desktop,Wifi,Algorithmic,True,False,13,0.0,0.00153
1887,24765,14,3,2024-03-15,9,Tablet,Wifi,Search,False,False,204,0.00103,0.00152
1889,35569,73,1,2024-09-21,15,Desktop,Wifi,Algorithmic,False,False,198,0.00114,0.00167
1901,39370,17,2,2024-12-28,23,Smart Speaker,Wifi,Algorithmic,False,False,144,0.004,0.00588
1910,6589,93,3,2024-08-30,3,Smart Speaker,Wifi,Algorithmic,False,False,107,0.00102,0.0015
1926,10943,4,4,2024-07-29,9,Mobile iOS,Wifi,Algorithmic,False,False,271,0.00531,0.00781
1929,18072,84,4,2024-12-31,4,Smart Speaker,Wifi,Search,True,False,27,0.0,0.00655
1935,3010,48,3,2024-07-14,0,Desktop,Cellular,Editorial,True,False,29,0.0,0.00975
1946,44179,17,4,2024-05-25,15,Desktop,Wifi,Editorial,False,False,168,0.00392,0.00576
1973,30848,27,2,2024-11-17,22,Mobile iOS,Cellular,Editorial,False,True,251,0.00387,0.00569
1981,31429,26,3,2024-11-08,16,Tablet,Cellular,Algorithmic,True,False,29,0.0,0.00184
1994,17430,1,3,2024-06-06,10,Mobile iOS,Wifi,Algorithmic,True,False,19,0.0,0.00222
2035,17356,34,1,2024-06-26,4,Mobile Android,Wifi,Search,True,False,24,0.0,0.00825
2041,35248,22,1,2024-09-28,5,Desktop,Wifi,Editorial,False,False,226,0.00126,0.00185
2044,3916,3,3,2024-06-15,18,Mobile iOS,Wifi,Editorial,True,False,5,0.0,0.00734
2077,21939,34,1,2024-06-29,2,Mobile iOS,Wifi,Algorithmic,True,False,15,0.0,0.00767
2080,40259,6,3,2024-05-28,7,Mobile iOS,Offline,Editorial,False,False,242,0.00497,0.00731
2085,26542,45,1,2024-07-11,3,Mobile Android,Wifi,Editorial,False,False,175,0.00137,0.00202
2087,28222,84,1,2024-09-13,14,Tablet,Wifi,Algorithmic,True,False,7,0.0,0.00523
2100,7897,80,2,2024-07-26,7,Smart Speaker,Wifi,Editorial,False,False,264,0.00111,0.00163
2107,2632,9,4,2024-07-08,17,Mobile Android,Cellular,Search,False,False,258,0.00121,0.00178
2110,24754,60,2,2024-05-10,20,Mobile iOS,Cellular,Search,False,False,180,0.00125,0.00184
2118,11042,95,1,2024-08-17,13,Desktop,Wifi,Algorithmic,True,False,3,0.0,0.00736
2132,36095,48,2,2024-10-04,17,Mobile iOS,Wifi,Search,False,False,212,0.00114,0.00167
2138,34146,96,1,2024-06-12,14,Desktop,Wifi,Editorial,False,True,135,0.00105,0.00155
2167,36938,37,3,2024-12-22,5,Tablet,Wifi,Search,False,True,138,0.00284,0.00417
2173,34542,25,4,2024-07-12,8,Desktop,Wifi,Algorithmic,False,False,149,0.00565,0.00831
2193,26588,56,4,2024-07-22,20,Desktop,Cellular,Search,False,False,238,0.00462,0.00679
2198,29845,16,1,2024-10-21,19,Smart Speaker,Wifi,Algorithmic,False,False,139,0.00126,0.00185
2202,26662,11,1,2024-03-31,5,Tablet,Wifi,Editorial,False,False,172,0.00577,0.00848
2205,7878,90,1,2024-07-25,13,Tablet,Cellular,Algorithmic,False,False,162,0.00124,0.00183
2210,37816,2,4,2024-10-19,11,Desktop,Cellular,Editorial,False,False,192,0.0033,0.00485
2229,43306,12,1,2024-08-27,22,Mobile Android,Wifi,Editorial,False,False,190,0.0049,0.00721
2231,5443,72,4,2024-09-10,16,Desktop,Wifi,Editorial,False,False,133,0.00434,0.00638
2238,2660,68,1,2024-08-12,23,Desktop,Wifi,Algorithmic,True,False,24,0.0,0.00683
2263,26382,34,3,2024-12-19,0,Desktop,Offline,Algorithmic,False,False,168,0.00463,0.00681
2270,22233,20,3,2024-12-08,11,Smart Speaker,Cellular,Algorithmic,True,False,4,0.0,0.0077
2290,44169,7,1,2024-02-02,6,Smart Speaker,Wifi,Editorial,False,True,200,0.0063,0.00926
2299,29941,37,1,2024-01-08,13,Tablet,Cellular,Algorithmic,False,False,139,0.00094,0.00138
2308,22522,53,1,2024-08-03,5,Tablet,Offline,Algorithmic,True,False,23,0.0,0.00182
2323,19802,17,4,2024-05-12,8,Mobile iOS,Wifi,Editorial,True,False,6,0.0,0.00903
2329,27031,21,3,2024-07-17,10,Desktop,Cellular,Search,False,True,225,0.00126,0.00186
2340,37204,3,4,2024-12-28,12,Desktop,Cellular,Algorithmic,False,False,146,0.00097,0.00142
2359,18823,3,4,2024-06-15,13,Smart Speaker,Cellular,Search,False,False,154,0.00341,0.00501
2388,17169,11,3,2024-10-30,22,Tablet,Wifi,Editorial,True,False,9,0.0,0.00204
2390,33852,95,2,2024-11-19,15,Mobile Android,Wifi,Editorial,False,False,276,0.00556,0.00818
2391,24058,9,3,2024-10-18,19,Desktop,Wifi,Algorithmic,True,False,19,0.0,0.00219
2401,37967,7,4,2024-09-14,23,Mobile Android,Wifi,Search,True,False,6,0.0,0.00159
2426,26240,7,3,2024-05-04,16,Mobile Android,Wifi,Algorithmic,False,False,229,0.00426,0.00627
2436,39162,10,2,2024-04-09,8,Mobile iOS,Cellular,Search,True,False,22,0.0,0.00808
2443,10729,93,1,2024-02-24,23,Desktop,Offline,Algorithmic,False,False,116,0.00581,0.00854
2445,17172,5,4,2024-06-01,17,Mobile Android,Cellular,Algorithmic,False,True,123,0.00137,0.00201
2446,3258,16,1,2024-11-02,3,Desktop,Wifi,Search,False,False,161,0.00483,0.00711
2447,28420,64,3,2024-02-04,23,Desktop,Wifi,Search,False,False,141,0.00398,0.00586
2451,36761,40,1,2024-12-22,22,Mobile iOS,Wifi,Editorial,True,False,3,0.0,0.00789
2458,8876,7,3,2024-11-20,23,Mobile iOS,Wifi,Algorithmic,False,False,224,0.00118,0.00174
2461,23535,64,1,2024-08-04,5,Desktop,Cellular,Search,False,False,210,0.00504,0.00741
2503,7730,59,2,2024-12-03,19,Smart Speaker,Cellular,Search,False,False,288,0.00109,0.00161
2509,39,5,4,2024-05-03,22,Tablet,Cellular,Search,True,False,14,0.0,0.00746
2512,32158,95,4,2024-04-19,8,Mobile Android,Cellular,Editorial,True,True,11,0.0,0.00925
2513,30596,39,4,2024-08-30,19,Desktop,Wifi,Search,True,False,22,0.0,0.00635
2518,30092,2,1,2024-11-23,23,Smart Speaker,Offline,Search,False,False,158,0.0038,0.00559
2531,26205,39,4,2024-12-31,21,Desktop,Wifi,Algorithmic,True,False,4,0.0,0.00981
2586,41472,19,1,2024-09-22,15,Mobile iOS,Wifi,Algorithmic,False,True,282,0.00097,0.00142
2594,43031,50,1,2024-12-07,15,Smart Speaker,Wifi,Editorial,False,False,102,0.0063,0.00927
2600,42073,26,1,2024-07-14,17,Mobile iOS,Wifi,Editorial,True,False,19,0.0,0.00597
2614,22750,38,2,2024-05-22,19,Mobile Android,Wifi,Search,True,False,6,0.0,0.00606
2617,36547,8,3,2024-03-10,19,Tablet,Cellular,Algorithmic,False,True,196,0.00402,0.00591
2624,4319,53,2,2024-12-25,4,Tablet,Offline,Search,False,False,146,0.00124,0.00182
2626,9393,19,2,2024-11-10,12,Mobile Android,Cellular,Search,False,False,237,0.00099,0.00146
2631,19988,37,4,2024-01-07,19,Tablet,Cellular,Editorial,False,False,166,0.00109,0.0016
2644,7179,56,4,2024-08-09,0,Tablet,Wifi,Search,False,False,283,0.00333,0.00489
2647,21495,79,4,2024-10-19,0,Desktop,Wifi,Search,False,False,209,0.00496,0.0073
2651,16264,11,2,2024-10-15,22,Desktop,Wifi,Search,False,False,162,0.00143,0.0021
2653,36412,9,1,2024-04-22,7,Mobile Android,Wifi,Algorithmic,True,False,15,0.0,0.00813
2699,11345,14,1,2024-06-17,17,Smart Speaker,Cellular,Algorithmic,True,False,24,0.0,0.00587
2717,20167,61,1,2024-12-24,10,Mobile iOS,Wifi,Editorial,True,False,11,0.0,0.0019
2730,2753,9,1,2024-07-18,12,Mobile iOS,Offline,Search,False,True,259,0.00121,0.00178
2760,17064,39,2,2024-11-15,0,Desktop,Cellular,Search,False,False,182,0.00141,0.00208
2773,7864,92,4,2024-10-03,20,Desktop,Wifi,Search,False,False,152,0.00103,0.00151
2789,35557,64,4,2024-08-01,19,Mobile iOS,Wifi,Search,False,False,177,0.0035,0.00514
2795,39302,12,3,2024-12-09,9,Smart Speaker,Cellular,Algorithmic,False,False,149,0.00129,0.0019
2806,32137,10,4,2024-02-09,18,Desktop,Wifi,Search,False,False,150,0.00371,0.00545
2842,27775,69,1,2024-03-15,20,Tablet,Offline,Search,False,False,171,0.00143,0.00211
2858,14235,13,2,2024-12-29,4,Smart Speaker,Cellular,Search,False,False,231,0.00375,0.00551
2862,44394,64,3,2024-12-28,15,Desktop,Wifi,Editorial,False,False,145,0.00496,0.0073
2868,3649,22,1,2024-12-28,1,Mobile Android,Wifi,Editorial,False,True,185,0.00115,0.00169
2898,5169,9,3,2024-04-02,1,Mobile iOS,Cellular,Algorithmic,True,False,17,0.0,0.0077
2900,19988,24,3,2024-09-03,14,Smart Speaker,Offline,Algorithmic,False,True,219,0.00152,0.00223
2902,27376,90,3,2024-07-04,2,Mobile Android,Cellular,Search,False,False,164,0.00422,0.00621
2906,17027,47,2,2024-08-28,5,Tablet,Wifi,Algorithmic,True,False,25,0.0,0.00642
2910,43019,14,2,2024-05-30,23,Mobile Android,Cellular,Algorithmic,True,False,17,0.0,0.00181
2917,30690,66,4,2024-05-02,20,Desktop,Offline,Algorithmic,False,False,192,0.00363,0.00534
2918,23811,68,3,2024-05-04,19,Mobile iOS,Wifi,Algorithmic,False,True,181,0.00097,0.00142
2919,20206,82,4,2024-11-16,0,Tablet,Wifi,Algorithmic,True,False,7,0.0,0.00136
2923,19628,24,4,2024-01-09,0,Mobile iOS,Wifi,Search,False,False,225,0.00447,0.00658
2943,39911,12,1,2024-11-08,21,Mobile Android,Wifi,Editorial,False,False,191,0.00627,0.00922
2945,37933,57,4,2024-08-14,11,Tablet,Wifi,Search,True,False,8,0.0,0.00197
2957,35092,25,2,2024-11-17,10,Mobile Android,Wifi,Editorial,True,False,6,0.0,0.00646
2959,40479,62,4,2024-08-24,8,Tablet,Wifi,Algorithmic,False,True,257,0.00115,0.00169
2970,15019,78,4,2024-06-09,12,Desktop,Cellular,Editorial,False,True,114,0.00114,0.00167
2974,34590,64,1,2024-10-23,11,Mobile iOS,Wifi,Search,False,False,182,0.00661,0.00972
2982,17819,55,2,2024-10-27,11,Mobile iOS,Wifi,Search,True,False,27,0.0,0.00164
3010,29995,4,2,2024-12-13,5,Smart Speaker,Cellular,Editorial,False,False,226,0.00305,0.00448
3017,10274,6,4,2024-01-12,2,Mobile Android,Cellular,Editorial,False,False,274,0.00135,0.00198
3053,44499,22,3,2024-05-06,10,Mobile iOS,Cellular,Algorithmic,True,False,17,0.0,0.00779
3054,4918,12,4,2024-07-31,15,Desktop,Wifi,Search,False,True,187,0.00094,0.00138
3060,43401,92,2,2024-09-22,12,Mobile Android,Wifi,Algorithmic,False,False,173,0.00146,0.00214
3068,23557,31,3,2024-08-11,11,Tablet,Wifi,Search,False,False,116,0.0042,0.00617
3078,4401,5,3,2024-05-11,11,Mobile Android,Wifi,Search,False,False,145,0.00371,0.00545
3086,35603,13,2,2024-08-20,22,Tablet,Wifi,Algorithmic,True,False,22,0.0,0.00139
3095,10086,65,4,2024-12-15,11,Tablet,Wifi,Algorithmic,False,True,142,0.00301,0.00442
3097,8526,26,4,2024-12-07,8,Desktop,Wifi,Algorithmic,False,False,302,0.00367,0.0054
3129,8019,32,4,2024-11-01,9,Smart Speaker,Wifi,Algorithmic,True,False,16,0.0,0.00455
3130,7864,25,3,2024-04-14,12,Tablet,Wifi,Search,False,False,122,0.00137,0.00201
3173,3228,91,1,2024-08-15,21,Tablet,Wifi,Algorithmic,False,False,190,0.00109,0.00161
3206,1854,4,3,2024-10-19,22,Desktop,Wifi,Algorithmic,True,False,17,0.0,0.00217
3208,27009,23,2,2024-02-11,22,Mobile Android,Wifi,Algorithmic,True,False,27,0.0,0.0061
3218,386,13,3,2024-10-27,0,Mobile Android,Cellular,Search,False,False,225,0.00475,0.00698
3221,33919,28,2,2024-05-03,19,Tablet,Wifi,Search,False,False,264,0.00602,0.00885
3222,25930,2,4,2024-05-29,10,Smart Speaker,Wifi,Algorithmic,True,False,20,0.0,0.00218
3248,31283,62,4,2024-03-03,16,Mobile iOS,Cellular,Search,False,True,207,0.0015,0.00221
3251,9817,63,4,2024-08-23,15,Tablet,Cellular,Search,False,False,223,0.00125,0.00184
